human_usage_intent,ES,VE,CO,RE,CR,PE,SA,SE,FS,RS,TA,SR,N,OT
ES,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VE,0,4,2,0,0,0,0,0,0,0,0,0,0,0
CO,0,0,13,0,0,0,0,1,0,0,0,0,0,0
RE,0,0,0,2,0,0,1,0,0,0,0,0,0,0
CR,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PE,2,0,0,0,0,3,0,0,0,0,0,0,0,0
SA,0,0,0,0,0,1,2,0,0,0,0,0,0,0
SE,0,0,0,0,0,1,0,6,0,0,0,0,0,0
FS,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA,0,0,0,0,0,0,0,0,0,0,5,0,0,0
SR,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
