human_source,Primary,Parallel,Supplement,Solo,Exploration,NM
Primary,20,0,0,0,0,1
Parallel,0,1,0,0,0,0
Supplement,1,0,6,0,0,0
Solo,0,0,0,0,0,0
Exploration,0,0,0,0,0,0
NM,3,0,0,0,1,16
